               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.021514,            0.015984,            0.024221,             0.76589,             0.74793,             0.80731,             0.68488,            0.011086,           0.0048774,           0.0077595,            0.006964,            0.006964,            0.006964
                  94,            0.021434,            0.015999,            0.023983,             0.77226,             0.74382,             0.80837,             0.68592,            0.011078,            0.004874,           0.0077405,            0.006931,            0.006931,            0.006931
                  95,            0.021484,            0.015872,             0.02434,             0.78244,             0.73782,             0.80929,             0.68611,            0.011066,           0.0048686,           0.0077135,            0.006898,            0.006898,            0.006898
                  96,            0.021352,            0.015904,            0.023843,             0.77299,             0.74666,             0.81024,             0.68683,            0.011054,           0.0048641,           0.0076875,            0.006865,            0.006865,            0.006865
                  97,            0.021542,            0.015996,            0.023801,             0.78909,             0.73397,             0.81092,             0.68751,            0.011043,            0.004859,           0.0076649,            0.006832,            0.006832,            0.006832
                  98,             0.02127,            0.015962,            0.024023,             0.79868,             0.72631,             0.81179,             0.68822,            0.011035,           0.0048554,           0.0076545,            0.006799,            0.006799,            0.006799
                  99,            0.021123,            0.015902,            0.023809,             0.80009,             0.72521,             0.81247,             0.69012,            0.011027,           0.0048515,           0.0076358,            0.006766,            0.006766,            0.006766
                 100,            0.021222,            0.015921,            0.023949,             0.80188,             0.72498,             0.81286,             0.69043,             0.01102,           0.0048467,           0.0076274,            0.006733,            0.006733,            0.006733
                 101,            0.021078,            0.015844,            0.023847,             0.80477,             0.72389,             0.81382,              0.6914,             0.01101,            0.004842,           0.0076114,              0.0067,              0.0067,              0.0067
                 102,            0.021237,             0.01591,            0.023637,             0.81216,             0.71923,              0.8152,             0.69214,               0.011,           0.0048366,           0.0075931,            0.006667,            0.006667,            0.006667
                 103,            0.021106,            0.015718,            0.023815,             0.80688,             0.72508,             0.81578,             0.69245,            0.010988,            0.004832,           0.0075725,            0.006634,            0.006634,            0.006634
